url;Publication;Authors;Institution;Affiliation;Country;Journal;Citations;Date;Year;Application;Materials;Number of classes;Classes;Exploratory data analysis;Preprocessing;Feature selection;Feature selection approach;Spectral input;Classification approaches;Classification;Classifier;Best model;Validation internal;Validation external;Model validation;Software
https://journals.sagepub.com/doi/pdf/10.1366/10-06079a;Identification of Polymer Materials Using Laser-Induced Breakdown Spectroscopy Combined with Artificial Neural Networks;Boueri et al., 2010;Université de Lyon;Université de Lyon, France;France;Applied Spectroscopy;96;30.11.2010;2010;Polymers;Polymers;8;polypropylene (PP), polyvinyl chloride (PVC), polytetrafluoroethylene (PTFE), polyoxymethylene (POM), polyethylene (PE), polyamide/nylon (PA), polycarbonate (PC), poly(methyl methacrylate) (PMMA);Visual inspection;NormIS (C: 247.9 nm);domain knowledge, wrapper (ANN);Wrapper-based;Features:  13 PeakInt (C, Mg, Ti, CN, Ca, Na, H, F, Cl, N, K, O);ANN;ANN;ANN;MLP (13,25,8);-;accuracy: 81%;External;?
https://www.sciencedirect.com/science/article/abs/pii/S0142941810001224;Identification of polymers by libs using methods of correlation and normalized coordinates;Lasheras et al., 2010;University of Zaragoza;Laser Laboratory and Environment, Department of Analytical Chemistry, University of Zaragoza, Spain;Spain;Polymer Testing;44;01.12.2010;2010;Polymers;Polymers;9;polyethylene (PE), polypropylene (PP), polystyrene (PS), polyethylene terephthalate (PET), poly-vinyl chloride (PVC), polytetrafluoroethene (PTFE), nylon, cellulose, rubber;Visual inspection;-;-;-;LIBS spectrum:  2048 RawInt (200-850 nm);Correlation (linear, rank, MVC);Correlation;Linear correlation;Linear correlation ;accuracy: 100%;-;Internal;Visual Basic
https://link.springer.com/article/10.1007/s00216-011-4869-7;Characterization and forensic analysis of soil samples using laser-induced breakdown spectroscopy (LIBS);Jantzi et al., 2011;Florida International University;Department of Chemistry and Biochemistry and International Forensic Research Institute, Florida International University, United States;United States;Analytical and Bioanalytical Chemistry;74;02.04.2011;2011;Soil;Soil;5;SE of Florida City,  Sweetwater, Canal C6, Krome North Tower, Homestead Airport ;PCA;BckgCorr,  NormIS (Sc: 361.4 nm);filter (discriminative power);Filter-based ;Features:  5 IntRatios (Sr/Ti, Ba/Mg, Ca/Mg, Fe/Mg, Li/Mg);ANOVA, LDA, PCA;LDA;LDA;LDA;accuracy: 99%;-;Internal;Systat
https://link.springer.com/article/10.1007/s00216-011-4898-2;Laser-induced breakdown spectroscopy for polymer identification;Grégoire et al., 2011;Mnistry of Culture France;Laboratoire de Recherche des Monuments Historiques, Mnistry of Culture, France;France;Analytical and Bioanalytical Chemistry;89;05.04.2011;2011;Polymers;Polymers;14;polyethylene (PE), polypropylene (PP), polyoxymethylene, (POM), polyvinyl chloride (PVC), polytetrafluoroethylene (PTF), polyoxyethylene (POE), polyamide (PA), poly(butylene terephthalate) (PBT), acrylonitrile–butadiene–styrene (PBS), polystyrene (PS), polycarbonate (PC);Visual inspection + PCA;-;domain knowledge;Domain k-wledge;Features:  6 PeakInt (200-975 nm);Ratios, PCA, PLS-DA;PLS-DA;PLS-DA;PLS-DA ;-;-;Internal;Unscrambler
https://www.sciencedirect.com/science/article/abs/pii/S0584854711001662;Detection of explosives in traces by laser induced breakdown spectroscopy: Differences from organic interferents and conditions for a correct classification;Lazic et al., 2011;ENEA;National Agency for New Technologies, Energy and Sustainable Economic Development, Italy;Italy;Spectrochimica Acta Part B: Atomic Spectroscopy;35;08.08.2011;2011;Forensics/Explosives;Explosives;10;EGDN, NG, RDX, TNT, DNT, PETN, HMX, TETRYL, TATP, Diesel oil, Paraffin waf, Hand cream;?;-;-;?;-;-;?;?;-;-;-;?;?
https://link.springer.com/article/10.1007/s00216-011-5287-6;Multivariate classification of pigments and inks using combined Raman spectroscopy and LIBS;Hoehse et al., 2011;BAM;BAM Federal Institute for Materials Research and Testing, Germany;Germany;Analytical and Bioanalytical Chemistry;111;16.08.2011;2011;Forensics/Explosives;Pigments and Inks;10;10 inks povided by state criminal investigation department;Visual inspection + PCA;BckgCorr,  NormSNV;-;-;LIBS-Raman: RawInt (290-930 nm, 1797-2432 cm-1);PCA, SIMCA, PLS-DA, SVM;SIMCA;SIMCA+PLS/DA;SIMCA+PLS/DA;-;-;Internal;Unscrambler
https://opg.optica.org/viewmedia.cfm?r=1&rwjcode=ao&uri=ao-51-7-B83&html=true;Classification of explosive residues on organic substrates using laser induced breakdown spectroscopy;De Lucia et al., 2011;U.S. Army Research Laboratory;U.S. Army Research Laboratory, United States;United States;Applied Optics;43;11.11.2011;2011;Forensics/Explosives;Explosives;2;explosive (RDX, TNT, Comp-B), non-explosive (substrate, lubricant oil, dust, fingerprint oil, sand, diesel fuel);Visual inspection;Norm;domain knowledge;Domain k-wledge;Features:  132 PeakRatios, PeakAreas (C, C2, CN, H, O, N);PLS-DA;PLS-DA;PLS-DA;PLS-DA;-;TPR: 98%;External;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0039914011008459;Laser-induced breakdown spectroscopy-based investigation and classification of pharmaceutical tablets using multivariate chemometric analysis;Myakalwar et al., 2011;ACRHEM;ACRHEM, University of Hyderabad, India;India;Talanta;111;15.12.2011;2011;Biological/Life Science;Pharmaceutical Samples;6;brufen, brufen-coated, glucosamine, glucosamine-coated, vitamin C, paracetamol;Visual inspection + PCA;-;-;-;LIBS spectrum:  25505 RawInt (200-1000 nm);PCA, SIMCA;SIMCA;SIMCA;SIMCA ;accuracy: 90%;-;Internal;MATLAB
https://pubs.acs.org/doi/10.1021/ac202755e;Incorporation of Support Vector Machines in the LIBS Toolbox for Sensitive and Robust Classification Amidst Unexpected Sample and System Variability;Dingari et al., 2012;MIT;Laser Biomedical Research Center, MIT, United States;United States;Analytical Chemistry;97;31.01.2012;2012;Biological/Life Science;Pharmaceutical Samples;6;brufen, brufen-coated, glucosamine, glucosamine-coated, vitamin C, paracetamol;Visual inspection + PCA;-;-;-;LIBS spectrum:  25505 RawInt (200-1000 nm);SVM, SIMCA, PLS-DA;SVM;SVM;SVM (RBF kernel);accuracy: 96%;-;Internal;MATLAB
https://journals.sagepub.com/doi/full/10.1366/11-06379;Feasibility of Laser-Induced Breakdown Spectroscopy (LIBS) for Classification of Sea Salts;Tan et al., 2012;Mokpo National University;Department of Chemistry, Mokpo National University, Korea;Korea;Applied Spectroscopy;33;01.03.2012;2012;Foodstuff;Salts;11;Korea (5), China (2), Japan (2), France (2);Visual inspection + PCA;NormIS (CN band);PCA;PCA;Features:  5 PCs (760-800 nm);PLS-DA;PLS-DA;PLS-DA;PLS-DA;accuracy: 85%;-;Internal;?
